# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  0)   1.376 us    |  can_migrate_task();
  0)   0.386 us    |  can_migrate_task();
  3)   1.896 us    |  can_migrate_task();
  3)   0.340 us    |  can_migrate_task();
  2)   1.429 us    |  can_migrate_task();
  2)   0.293 us    |  can_migrate_task();
  7)   0.407 us    |            compact_unlock_should_abort.isra.0();
  7)   0.222 us    |            compact_unlock_should_abort.isra.0();
  7)   0.311 us    |            compact_unlock_should_abort.isra.0();
  7)   0.194 us    |            compact_unlock_should_abort.isra.0();
  7)   0.303 us    |            compact_unlock_should_abort.isra.0();
  7)   0.195 us    |            compact_unlock_should_abort.isra.0();
  7)   0.203 us    |            compact_unlock_should_abort.isra.0();
  7)   0.192 us    |            compact_unlock_should_abort.isra.0();
  7)   0.310 us    |            compact_unlock_should_abort.isra.0();
  7)   0.194 us    |            compact_unlock_should_abort.isra.0();
  7)   0.311 us    |            compact_unlock_should_abort.isra.0();
  7)   0.191 us    |            compact_unlock_should_abort.isra.0();
  7)   0.311 us    |            compact_unlock_should_abort.isra.0();
  7)   0.326 us    |            compact_unlock_should_abort.isra.0();
  7)   0.194 us    |            compact_unlock_should_abort.isra.0();
  7)   0.271 us    |            compact_unlock_should_abort.isra.0();
  7)   0.189 us    |            compact_unlock_should_abort.isra.0();
  7)   0.193 us    |            compact_unlock_should_abort.isra.0();
  7)   0.302 us    |            compact_unlock_should_abort.isra.0();
  7)   0.291 us    |            compact_unlock_should_abort.isra.0();
  7)   0.197 us    |            compact_unlock_should_abort.isra.0();
  7)   0.196 us    |            compact_unlock_should_abort.isra.0();
  7)   0.204 us    |            compact_unlock_should_abort.isra.0();
  7)   0.193 us    |            compact_unlock_should_abort.isra.0();
  7)   0.298 us    |            compact_unlock_should_abort.isra.0();
  7)   0.188 us    |            compact_unlock_should_abort.isra.0();
  7)   0.297 us    |            compact_unlock_should_abort.isra.0();
  7)   0.200 us    |            compact_unlock_should_abort.isra.0();
  7)   0.376 us    |            compact_unlock_should_abort.isra.0();
  7)   0.189 us    |            compact_unlock_should_abort.isra.0();
  7)   0.207 us    |            compact_unlock_should_abort.isra.0();
  7)   0.376 us    |            compact_unlock_should_abort.isra.0();
  7)   0.189 us    |            compact_unlock_should_abort.isra.0();
  7)   0.194 us    |            compact_unlock_should_abort.isra.0();
  7)   0.295 us    |            compact_unlock_should_abort.isra.0();
  7)   0.289 us    |            compact_unlock_should_abort.isra.0();
  7)   0.200 us    |            compact_unlock_should_abort.isra.0();
  7)   0.194 us    |            compact_unlock_should_abort.isra.0();
  7)   0.235 us    |            compact_unlock_should_abort.isra.0();
  7)   0.191 us    |            compact_unlock_should_abort.isra.0();
  7)   0.296 us    |            compact_unlock_should_abort.isra.0();
  7)   0.189 us    |            compact_unlock_should_abort.isra.0();
  7)   0.312 us    |            compact_unlock_should_abort.isra.0();
  7)   0.194 us    |            compact_unlock_should_abort.isra.0();
  7)   0.300 us    |            compact_unlock_should_abort.isra.0();
  7)   0.195 us    |            compact_unlock_should_abort.isra.0();
  7)   0.280 us    |            compact_unlock_should_abort.isra.0();
  7)   0.429 us    |            compact_unlock_should_abort.isra.0();
  7)   0.193 us    |            compact_unlock_should_abort.isra.0();
  7)   0.191 us    |            compact_unlock_should_abort.isra.0();
  7)   0.302 us    |            compact_unlock_should_abort.isra.0();
  7)   0.302 us    |            compact_unlock_should_abort.isra.0();
  7)   0.204 us    |            compact_unlock_should_abort.isra.0();
  7)   0.194 us    |            compact_unlock_should_abort.isra.0();
  7)   0.204 us    |            compact_unlock_should_abort.isra.0();
  7)   0.194 us    |            compact_unlock_should_abort.isra.0();
  7)   0.322 us    |            compact_unlock_should_abort.isra.0();
  7)   0.239 us    |            compact_unlock_should_abort.isra.0();
  7)   0.195 us    |            compact_unlock_should_abort.isra.0();
  7)   0.302 us    |            compact_unlock_should_abort.isra.0();
  7)   0.191 us    |            compact_unlock_should_abort.isra.0();
