# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)   0.831 us    |  kthread_should_stop();
 0)   0.240 us    |  kthread_should_stop();
 0)   0.221 us    |  init_wait_entry();
 0)               |  prepare_to_wait_event() {
 0)   0.190 us    |    _raw_spin_lock_irqsave();
 0)   0.181 us    |    _raw_spin_unlock_irqrestore();
 0)   0.962 us    |  }
 0)   0.181 us    |  kthread_should_stop();
 0)               |  schedule_timeout() {
 0)               |    lock_timer_base() {
 0)   0.170 us    |      _raw_spin_lock_irqsave();
 0)   0.511 us    |    }
 0)   0.180 us    |    detach_if_pending();
 0)   0.180 us    |    get_nohz_timer_target();
 0)   0.190 us    |    calc_wheel_index();
 0)   0.191 us    |    enqueue_timer();
 0)   0.170 us    |    _raw_spin_unlock_irqrestore();
 0)               |    schedule() {
 0)               |      rcu_note_context_switch() {
 0)   0.171 us    |        rcu_qs();
 0)   0.501 us    |      }
 0)               |      raw_spin_rq_lock_nested() {
 0)   0.170 us    |        _raw_spin_lock();
 0)   0.501 us    |      }
 0)   0.220 us    |      update_rq_clock();
 0)               |      dequeue_task_fair() {
 0)               |        dequeue_entity() {
 0)               |          update_curr() {
 0)   0.180 us    |            update_min_vruntime();
 0)               |            cpuacct_charge() {
 0)   0.170 us    |              rcu_read_unlock_strict();
 0)   0.531 us    |            }
 0)   0.170 us    |            rcu_read_unlock_strict();
 0)   1.964 us    |          }
 0)   0.201 us    |          __update_load_avg_se();
 0)   0.201 us    |          __update_load_avg_cfs_rq();
 0)   0.160 us    |          clear_buddies();
 0)   0.180 us    |          update_cfs_group();
 0)   0.191 us    |          update_min_vruntime();
 0)   4.188 us    |        }
 0)   0.181 us    |        hrtick_update();
 0)   4.949 us    |      }
 0)               |      pick_next_task() {
 0)               |        pick_next_task_fair() {
 0)               |          newidle_balance() {
 0)   0.181 us    |            __msecs_to_jiffies();
 0)   0.170 us    |            rcu_read_unlock_strict();
 0)   0.912 us    |          }
 0)   1.272 us    |        }
 0)               |        put_prev_task_fair() {
 0)   0.190 us    |          put_prev_entity();
 0)   0.531 us    |        }
 0)               |        pick_next_task_idle() {
 0)               |          set_next_task_idle() {
 0)               |            __update_idle_core() {
 0)   0.170 us    |              rcu_read_unlock_strict();
 0)   0.551 us    |            }
 0)   0.180 us    |            queue_core_balance();
 0)   1.353 us    |          }
 0)   1.693 us    |        }
 0)   4.298 us    |      }
 0)               |      psi_task_switch() {
 0)   0.170 us    |        psi_flags_change();
 0)   0.180 us    |        iterate_groups();
 0)   0.401 us    |        psi_group_change();
 0)   0.180 us    |        iterate_groups();
 0)   1.893 us    |      }
 0)   0.991 us    |      __traceiter_sched_switch();
 ------------------------------------------
 0)   kcompac-32   =>    <idle>-0   
 ------------------------------------------

 0)   2.054 us    |  enter_lazy_tlb();
 ------------------------------------------
 0)    <idle>-0    =>   kcompac-32  
 ------------------------------------------

 0)               |      finish_task_switch.isra.0() {
 0)   0.240 us    |        raw_spin_rq_unlock();
 0)   0.962 us    |      }
 0) @ 511971.7 us |    }
 0)               |    del_timer_sync() {
 0)               |      lock_timer_base() {
 0)   0.180 us    |        _raw_spin_lock_irqsave();
 0)   0.561 us    |      }
 0)   0.190 us    |      detach_if_pending();
 0)   0.190 us    |      _raw_spin_unlock_irqrestore();
 0)   1.793 us    |    }
 0) @ 511976.9 us |  } /* schedule_timeout */
 0)               |  prepare_to_wait_event() {
 0)   0.421 us    |    _raw_spin_lock_irqsave();
 0)   0.180 us    |    _raw_spin_unlock_irqrestore();
 0)   1.272 us    |  }
 0)   0.190 us    |  kthread_should_stop();
 0)               |  finish_wait() {
 0)   0.170 us    |    _raw_spin_lock_irqsave();
 0)   0.180 us    |    _raw_spin_unlock_irqrestore();
 0)   0.891 us    |  }
 0)               |  extfrag_for_order() {
 0)   0.300 us    |    fill_contig_page_info();
 0)   0.752 us    |  }
 0)               |  extfrag_for_order() {
 0)   0.231 us    |    fill_contig_page_info();
 0)   0.561 us    |  }
 0)               |  extfrag_for_order() {
 0)   0.280 us    |    fill_contig_page_info();
 0)   0.641 us    |  }
 0)               |  extfrag_for_order() {
 0)   0.271 us    |    fill_contig_page_info();
 0)   0.611 us    |  }
 0)               |  extfrag_for_order() {
 0)   0.211 us    |    fill_contig_page_info();
 0)   0.551 us    |  }
 0)   0.170 us    |  kthread_should_stop();
 0)   0.171 us    |  kthread_should_stop();
 0)   0.180 us    |  init_wait_entry();
 0)               |  prepare_to_wait_event() {
 0)   0.170 us    |    _raw_spin_lock_irqsave();
 0)   0.180 us    |    _raw_spin_unlock_irqrestore();
 0)   0.901 us    |  }
 0)   0.170 us    |  kthread_should_stop();
 0)               |  schedule_timeout() {
 0)               |    lock_timer_base() {
 0)   0.171 us    |      _raw_spin_lock_irqsave();
 0)   0.541 us    |    }
 0)   0.181 us    |    detach_if_pending();
 0)   0.180 us    |    get_nohz_timer_target();
 0)   0.200 us    |    calc_wheel_index();
 0)   0.190 us    |    enqueue_timer();
 0)   0.181 us    |    _raw_spin_unlock_irqrestore();
 0)               |    schedule() {
 0)               |      rcu_note_context_switch() {
 0)   0.170 us    |        rcu_qs();
 0)   0.501 us    |      }
 0)               |      raw_spin_rq_lock_nested() {
 0)   0.160 us    |        _raw_spin_lock();
 0)   0.501 us    |      }
 0)   0.221 us    |      update_rq_clock();
 0)               |      dequeue_task_fair() {
 0)               |        dequeue_entity() {
 0)               |          update_curr() {
 0)   0.190 us    |            update_min_vruntime();
 0)               |            cpuacct_charge() {
 0)   0.181 us    |              rcu_read_unlock_strict();
 0)   0.842 us    |            }
 0)   0.161 us    |            rcu_read_unlock_strict();
 0)   2.324 us    |          }
 0)   0.190 us    |          __update_load_avg_se();
 0)   0.201 us    |          __update_load_avg_cfs_rq();
 0)   0.170 us    |          clear_buddies();
 0)   0.180 us    |          update_cfs_group();
 0)   0.191 us    |          update_min_vruntime();
 0)   4.558 us    |        }
 0)   0.170 us    |        hrtick_update();
 0)   5.320 us    |      }
 0)               |      pick_next_task() {
 0)               |        pick_next_task_fair() {
 0)               |          newidle_balance() {
 0)   0.180 us    |            __msecs_to_jiffies();
 0)   0.171 us    |            rcu_read_unlock_strict();
 0)   0.912 us    |          }
 0)   1.272 us    |        }
 0)               |        put_prev_task_fair() {
 0)   0.180 us    |          put_prev_entity();
 0)   0.531 us    |        }
 0)               |        pick_next_task_idle() {
 0)               |          set_next_task_idle() {
 0)               |            __update_idle_core() {
 0)   0.171 us    |              rcu_read_unlock_strict();
 0)   0.551 us    |            }
 0)   0.181 us    |            queue_core_balance();
 0)   1.854 us    |          }
 0)   2.204 us    |        }
 0)   4.799 us    |      }
 0)               |      psi_task_switch() {
 0)   0.171 us    |        psi_flags_change();
 0)   0.180 us    |        iterate_groups();
 0)   0.350 us    |        psi_group_change();
 0)   0.190 us    |        iterate_groups();
 0)   1.833 us    |      }
 0)   0.611 us    |      __traceiter_sched_switch();
 ------------------------------------------
 0)   kcompac-32   =>    <idle>-0   
 ------------------------------------------

 0)   1.863 us    |  enter_lazy_tlb();
 ------------------------------------------
 0)    <idle>-0    =>   kcompac-32  
 ------------------------------------------

 0)               |      finish_task_switch.isra.0() {
 0)   0.301 us    |        raw_spin_rq_unlock();
 0)   1.072 us    |      }
 0) @ 511955.7 us |    }
 0)               |    del_timer_sync() {
 0)               |      lock_timer_base() {
 0)   0.181 us    |        _raw_spin_lock_irqsave();
 0)   0.561 us    |      }
 0)   0.191 us    |      detach_if_pending();
 0)   0.190 us    |      _raw_spin_unlock_irqrestore();
 0)   1.764 us    |    }
 0) @ 511960.9 us |  } /* schedule_timeout */
 0)               |  prepare_to_wait_event() {
 0)   0.271 us    |    _raw_spin_lock_irqsave();
 0)   0.180 us    |    _raw_spin_unlock_irqrestore();
 0)   1.002 us    |  }
 0)   0.181 us    |  kthread_should_stop();
 0)               |  finish_wait() {
 0)   0.171 us    |    _raw_spin_lock_irqsave();
 0)   0.180 us    |    _raw_spin_unlock_irqrestore();
 0)   0.872 us    |  }
 0)               |  extfrag_for_order() {
 0)   0.311 us    |    fill_contig_page_info();
 0)   0.761 us    |  }
 0)               |  extfrag_for_order() {
 0)   0.220 us    |    fill_contig_page_info();
 0)   0.562 us    |  }
 0)               |  extfrag_for_order() {
 0)   0.271 us    |    fill_contig_page_info();
 0)   0.621 us    |  }
 0)               |  extfrag_for_order() {
 0)   0.270 us    |    fill_contig_page_info();
 0)   0.642 us    |  }
 0)               |  extfrag_for_order() {
 0)   0.201 us    |    fill_contig_page_info();
 0)   0.551 us    |  }
 0)   0.171 us    |  kthread_should_stop();
 0)   0.170 us    |  kthread_should_stop();
 0)   0.170 us    |  init_wait_entry();
 0)               |  prepare_to_wait_event() {
 0)   0.170 us    |    _raw_spin_lock_irqsave();
 0)   0.191 us    |    _raw_spin_unlock_irqrestore();
 0)   0.902 us    |  }
 0)   0.171 us    |  kthread_should_stop();
 0)               |  schedule_timeout() {
 0)               |    lock_timer_base() {
 0)   0.170 us    |      _raw_spin_lock_irqsave();
 0)   0.510 us    |    }
 0)   0.180 us    |    detach_if_pending();
 0)   0.180 us    |    get_nohz_timer_target();
 0)   0.180 us    |    calc_wheel_index();
 0)   0.281 us    |    enqueue_timer();
 0)   0.181 us    |    _raw_spin_unlock_irqrestore();
 0)               |    schedule() {
 0)               |      rcu_note_context_switch() {
 0)   0.170 us    |        rcu_qs();
 0)   0.501 us    |      }
 0)               |      raw_spin_rq_lock_nested() {
 0)   0.160 us    |        _raw_spin_lock();
 0)   0.501 us    |      }
 0)   0.230 us    |      update_rq_clock();
 0)               |      dequeue_task_fair() {
 0)               |        dequeue_entity() {
 0)               |          update_curr() {
 0)   0.181 us    |            update_min_vruntime();
 0)               |            cpuacct_charge() {
 0)   0.181 us    |              rcu_read_unlock_strict();
 0)   0.561 us    |            }
 0)   0.170 us    |            rcu_read_unlock_strict();
 0)   2.064 us    |          }
 0)   0.250 us    |          __update_load_avg_se();
 0)   0.200 us    |          __update_load_avg_cfs_rq();
 0)   0.171 us    |          clear_buddies();
 0)   0.180 us    |          update_cfs_group();
 0)   0.200 us    |          update_min_vruntime();
 0)   5.320 us    |        }
 0)   0.180 us    |        hrtick_update();
 0)   6.071 us    |      }
 0)               |      pick_next_task() {
 0)               |        pick_next_task_fair() {
 0)               |          newidle_balance() {
 0)   0.170 us    |            __msecs_to_jiffies();
 0)   0.200 us    |            rcu_read_unlock_strict();
 0)   0.932 us    |          }
 0)   1.303 us    |        }
 0)               |        put_prev_task_fair() {
 0)   0.191 us    |          put_prev_entity();
 0)   0.531 us    |        }
 0)               |        pick_next_task_idle() {
 0)               |          set_next_task_idle() {
 0)               |            __update_idle_core() {
 0)   0.171 us    |              rcu_read_unlock_strict();
 0)   0.531 us    |            }
 0)   0.171 us    |            queue_core_balance();
 0)   1.262 us    |          }
 0)   1.593 us    |        }
 0)   4.148 us    |      }
 0)               |      psi_task_switch() {
 0)   0.171 us    |        psi_flags_change();
 0)   0.180 us    |        iterate_groups();
 0)   0.340 us    |        psi_group_change();
 0)   0.180 us    |        iterate_groups();
 0)   1.803 us    |      }
 0)   0.651 us    |      __traceiter_sched_switch();
 ------------------------------------------
 0)   kcompac-32   =>    <idle>-0   
 ------------------------------------------

 0)   2.284 us    |  enter_lazy_tlb();
 ------------------------------------------
 0)    <idle>-0    =>   kcompac-32  
 ------------------------------------------

 0)               |      finish_task_switch.isra.0() {
 0)   0.241 us    |        raw_spin_rq_unlock();
 0)   0.952 us    |      }
 0) @ 511988.8 us |    }
 0)               |    del_timer_sync() {
 0)               |      lock_timer_base() {
 0)   0.181 us    |        _raw_spin_lock_irqsave();
 0)   0.561 us    |      }
 0)   0.191 us    |      detach_if_pending();
 0)   0.200 us    |      _raw_spin_unlock_irqrestore();
 0)   1.844 us    |    }
 0) @ 511994.2 us |  } /* schedule_timeout */
 0)               |  prepare_to_wait_event() {
 0)   0.241 us    |    _raw_spin_lock_irqsave();
 0)   0.181 us    |    _raw_spin_unlock_irqrestore();
 0)   0.972 us    |  }
 0)   0.181 us    |  kthread_should_stop();
 0)               |  finish_wait() {
 0)   0.171 us    |    _raw_spin_lock_irqsave();
 0)   0.180 us    |    _raw_spin_unlock_irqrestore();
 0)   0.872 us    |  }
 0)               |  extfrag_for_order() {
 0)   0.321 us    |    fill_contig_page_info();
 0)   0.781 us    |  }
 0)               |  extfrag_for_order() {
 0)   0.231 us    |    fill_contig_page_info();
 0)   0.581 us    |  }
 0)               |  extfrag_for_order() {
 0)   0.280 us    |    fill_contig_page_info();
 0)   0.631 us    |  }
 0)               |  extfrag_for_order() {
 0)   0.321 us    |    fill_contig_page_info();
 0)   0.651 us    |  }
 0)               |  extfrag_for_order() {
 0)   0.200 us    |    fill_contig_page_info();
 0)   0.531 us    |  }
 0)   0.170 us    |  kthread_should_stop();
 0)   0.170 us    |  kthread_should_stop();
 0)   0.171 us    |  init_wait_entry();
 0)               |  prepare_to_wait_event() {
 0)   0.171 us    |    _raw_spin_lock_irqsave();
 0)   0.180 us    |    _raw_spin_unlock_irqrestore();
 0)   0.892 us    |  }
 0)   0.170 us    |  kthread_should_stop();
 0)               |  schedule_timeout() {
 0)               |    lock_timer_base() {
 0)   0.220 us    |      _raw_spin_lock_irqsave();
 0)   1.423 us    |    }
 0)   0.181 us    |    detach_if_pending();
 0)   0.180 us    |    get_nohz_timer_target();
 0)   0.190 us    |    calc_wheel_index();
 0)   0.270 us    |    enqueue_timer();
 0)   0.170 us    |    _raw_spin_unlock_irqrestore();
 0)               |    schedule() {
 0)               |      rcu_note_context_switch() {
 0)   0.171 us    |        rcu_qs();
 0)   0.511 us    |      }
